product_author,product_imagelink,product_name,product_price
Freida McFadden,https://m.media-amazon.com/images/I/81IM6vEPvLL._AC_UY218_.jpg,The Crash,$11.27
,,,$11.27
,,,
Rebecca Yarros,https://m.media-amazon.com/images/I/9101MLPcFTL._AC_UY218_.jpg,"Onyx Storm (Deluxe Limited Edition) (The Empyrean, 3)",$19.78
,,,$19.78
,,,
Brynne Weaver,https://m.media-amazon.com/images/I/71RLbh9wVJL._AC_UY218_.jpg,"Scythe & Sparrow: The Ruinous Love Trilogy (The Ruinous Love Trilogy, 3)",$15.20
,,,$15.20
,,,
Bill Gates,https://m.media-amazon.com/images/I/71yR+jQLqXL._AC_UY218_.jpg,Source Code: My Beginnings,$21.00
,,,$21.00
,,,
Sahil Bloom,https://m.media-amazon.com/images/I/718LvPnUx6L._AC_UY218_.jpg,The 5 Types of Wealth: A Transformative Guide to Design Your Dream Life,$21.00
,,,$21.00
,,,
Xavier Poussard,https://m.media-amazon.com/images/I/513qGdpFxqL._AC_UY218_.jpg,Becoming Brigitte,$24.25
,,,$24.25
,,,
Chris Hayes,https://m.media-amazon.com/images/I/71pN-Us7mKL._AC_UY218_.jpg,The Sirens' Call: How Attention Became the World's Most Endangered Resource,$24.31
,,,$24.31
,,,
Ali Hazelwood,https://m.media-amazon.com/images/I/81Lib5DkfML._AC_UY218_.jpg,Deep End,$14.98
,,,$14.98
,,,
Ann Voskamp,https://m.media-amazon.com/images/I/81ZbUwFIs-L._AC_UY218_.jpg,Loved to Life: A 40-Day Pilgrimage with Love Himself That Will Change Your Life,$20.08
,,,$20.08
,,,
Coco Wyo,https://m.media-amazon.com/images/I/81uwyj7Ac5L._AC_UY218_.jpg,Cozy Cuties: Coloring Book for Adults and Kids (Cozy Spaces Coloring),$8.99
,,,$8.99
,,,
Jason Wilson,https://m.media-amazon.com/images/I/910-1CXYChL._AC_UY218_.jpg,The Man the Moment Demands: Master the 10 Characteristics of the Comprehensive Man,$13.98
,,,$13.98
,,,
Anne Tyler,https://m.media-amazon.com/images/I/91UZlVJX5-L._AC_UY218_.jpg,Three Days in June: A Novel,$24.00
,,,$24.00
,,,
J. D. Robb,https://m.media-amazon.com/images/I/815a21XQO3L._AC_UY218_.jpg,"Bonded in Death (In Death, 60)",$20.98
,,,$20.98
,,,
"James Patterson, and ,James O. Born",https://m.media-amazon.com/images/I/816dyAm10oL._AC_UY218_.jpg,"Paranoia: A Michael Bennett Thriller (A Michael Bennett Thriller, 17)",$18.00
,,,$18.00
,,,
Jessica Soffer,https://m.media-amazon.com/images/I/81VRmGdOpuL._AC_UY218_.jpg,This Is a Love Story: A Read with Jenna Pick: A Novel,$16.90
,,,$16.90
,,,
Hikaru Kotz,https://m.media-amazon.com/images/I/71Emvn9--hL._AC_UY218_.jpg,Cat Moments: Meow Life Coloring Book for Adults and Teens,$7.99
,,,$7.99
,,,
